input,threads,seq_mean_s,seq_sd_s,omp_total_mean_s,omp_total_sd_s,omp_par_mean_s,omp_par_sd_s,fseq_mean,speedup,efficiency
input_150.txt,8,129.513500,0.567073,4.390931,0.058052,3.334590,0.037544,0.229094,29.495681,3.686960
input_150.txt,16,129.513500,0.567073,3.325339,0.085086,2.394559,0.057096,0.266537,38.947458,2.434216
input_160.txt,1,172.373500,0.946330,4.995113,0.095531,3.908758,0.074974,0.207126,34.508429,34.508429
input_160.txt,2,172.373500,0.946330,4.727150,0.117874,3.615265,0.096395,0.224038,36.464572,18.232286
input_160.txt,4,172.373500,0.946330,4.565797,0.359465,3.381602,0.267434,0.247018,37.753212,9.438303
input_160.txt,8,172.373500,0.946330,5.432324,0.088438,4.144369,0.071603,0.225809,31.731079,3.966385
input_160.txt,16,172.373500,0.946330,4.142330,0.058567,3.006389,0.041096,0.261150,41.612691,2.600793
input_170.txt,1,224.656000,0.867352,6.098357,0.099604,4.789249,0.082416,0.204452,36.838775,36.838775
input_170.txt,2,224.656000,0.867352,5.773365,0.100951,4.428459,0.078770,0.221859,38.912489,19.456245
input_170.txt,4,224.656000,0.867352,5.625370,0.422167,4.183265,0.315740,0.244166,39.936218,9.984054
input_170.txt,8,224.656000,0.867352,6.571532,0.071570,5.027444,0.060375,0.223783,34.186245,4.273281
input_170.txt,16,224.656000,0.867352,5.074741,0.076853,3.694425,0.040432,0.258998,44.269451,2.766841
input_180.txt,1,294.483500,0.881609,7.373020,0.103381,5.799876,0.090618,0.203219,39.940689,39.940689
input_180.txt,2,294.483500,0.881609,7.001710,0.097844,5.398976,0.076572,0.218004,42.058797,21.029398
input_180.txt,4,294.483500,0.881609,6.564623,0.322891,4.889302,0.230156,0.242978,44.859164,11.214791
input_180.txt,8,294.483500,0.881609,7.921938,0.077922,6.043224,0.045558,0.225840,37.173164,4.646645
input_180.txt,16,294.483500,0.881609,6.141637,0.082843,4.501482,0.062365,0.254332,47.948698,2.996794
input_190.txt,1,374.410500,2.648939,8.852574,0.141800,6.975492,0.111825,0.201941,42.293970,42.293970
input_190.txt,2,374.410500,2.648939,8.390230,0.130221,6.502534,0.102075,0.214274,44.624581,22.312290
input_190.txt,4,374.410500,2.648939,7.912843,0.295391,5.930688,0.196768,0.238459,47.316811,11.829203
input_190.txt,8,374.410500,2.648939,9.385583,0.052410,7.181102,0.044359,0.223696,39.892088,4.986511
input_190.txt,16,374.410500,2.648939,7.339783,0.090710,5.416644,0.075725,0.249548,51.011113,3.188195
input_200.txt,1,482.484500,2.647812,10.480200,0.131208,8.300736,0.108684,0.198061,46.037719,46.037719
input_200.txt,2,482.484500,2.647812,9.919716,0.126750,7.689303,0.103421,0.214145,48.638943,24.319471
input_200.txt,4,482.484500,2.647812,9.275035,0.234823,6.958822,0.141398,0.237743,52.019696,13.004924
input_200.txt,8,482.484500,2.647812,11.017700,0.131610,8.403602,0.094009,0.225957,43.791762,5.473970
input_200.txt,16,482.484500,2.647812,8.737954,0.104536,6.467811,0.083429,0.247431,55.217102,3.451069
